time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
2015-02-04T20:28:39.593Z,39.0627,-119.6895,10.1459,0.65,ml,8,90.54,0.075,0.2075,nn,nn00481019,2015-02-05T02:28:01.453Z,"3km ENE of Johnson Lane, Nevada",earthquake
2015-02-04T20:27:50.760Z,-24.1201,-67.1275,198.33,4.3,mb,,90,2.222,0.78,us,usc000tlqh,2015-02-05T04:30:20.322Z,"82km W of San Antonio de los Cobres, Argentina",earthquake
2015-02-04T20:27:48.085Z,39.0557,-119.6803,8.9131,0.96,ml,9,99.19,0.071,0.0538,nn,nn00480998,2015-02-04T21:58:19.436Z,"3km ENE of Johnson Lane, Nevada",earthquake
2015-02-04T20:17:04.640Z,39.0498333,-123.0833333,3.32,1.7,md,33,86,0.0506,0.05,nc,nc72391886,2015-02-05T02:10:02.988Z,"11km SE of Talmage, California",earthquake
2015-02-04T20:11:53.000Z,64.7708,-148.8886,17.7,1.6,ml,,,,0.31,ak,ak11502501,2015-02-04T20:33:23.668Z,"23km NNE of North Nenana, Alaska",earthquake
2015-02-04T20:07:29.800Z,33.6178333,-116.6768333,13.98,0.16,ml,16,89,0.04415,0.07,ci,ci37312872,2015-02-04T21:24:35.743Z,"7km N of Anza, California",earthquake
2015-02-04T20:07:28.000Z,63.5438,-147.355,0.1,1.6,ml,,,,0.66,ak,ak11502499,2015-02-04T20:33:23.083Z,"81km ENE of Cantwell, Alaska",earthquake
2015-02-04T19:58:35.000Z,62.5869,-148.1211,0,0.3,ml,,,,0.27,ak,ak11502498,2015-02-04T20:20:18.282Z,"95km NNE of Sutton-Alpine, Alaska",earthquake
2015-02-04T19:52:34.000Z,61.6676,-151.334,1,0.8,ml,,,,0.54,ak,ak11502497,2015-02-04T21:41:52.335Z,"69km W of Willow, Alaska",earthquake
2015-02-04T19:48:14.010Z,33.6233333,-116.6791667,13.88,0.37,ml,21,79,0.04567,0.12,ci,ci37312864,2015-02-04T20:44:18.692Z,"8km N of Anza, California",earthquake
